host_since,host_is_superhost,latitude,longitude,accommodates,bedrooms,beds,review_scores_rating
2010-08-17,t,4.071.778,-7.387.714,12,4,8,4.71
2010-10-05,f,4.080.255,-7.395.803,2,1,1,
2010-08-23,f,4.067.908,-7.397.405,2,1,1,4.71
2009-07-27,f,4.067.144,-7.376.501,2,1,1,4.35
2010-10-10,t,4.079.934,-7.394.236,2,1,1,4.86
2010-05-25,f,4.071.311,-739.506,4,2,1,5.0
2010-07-16,t,4.071.065,-7.395.087,1,1,1,4.82
2010-10-18,f,4.068.701,-7.397.555,1,1,1,4.79
2010-10-07,f,4.081.201,-7.394.452,2,1,1,4.65
2010-10-26,t,40.772.472,-73.906.075,2,1,2,4.83
2010-10-30,t,4.076.505,-7.398.716,4,1,2,4.82
2010-10-31,t,4.074.166,-739.866,2,1,1,4.98
2010-11-01,t,4.080.747,-7.394.076,2,1,1,4.87
2010-11-03,t,408.238,-7.394.444,2,1,1,4.7
2010-11-03,f,4.065.912,-739.842,4,2,3,4.72
2010-11-10,f,4.071.946,-7.398.641,2,1,1,4.65
2010-08-17,t,4.070.271,-738.993,9,3,6,5.0
2010-07-30,t,407.178,-739.932,5,2,2,4.78
2010-11-17,f,4.072.012,-7.400.397,6,3,3,4.38
2010-05-20,f,407.253,-7.398.028,2,1,1,4.79
2010-03-26,f,4.073.072,-7.399.275,3,1,1,4.88
2010-10-07,f,4.081.006,-7.394.559,2,1,2,4.72
2010-09-30,f,4.081.562,-7.394.674,2,1,1,5.0
2010-11-20,t,4.072.598,-7.397.978,6,1,2,4.53
2010-11-20,f,4.079.918,-7.396.248,6,3,3,5.0
2009-06-28,f,4.075.743,-7.396.825,3,1,1,4.23
2010-11-29,f,4.072.825,-7.398.959,2,1,1,4.82
2010-12-01,t,4.072.297,-7.398.265,3,,2,4.3
2010-12-01,t,4.072.967,-7.395.352,4,2,2,4.78
2010-11-22,f,4.081.161,-7.385.499,3,1,2,
2010-12-05,t,40.881,-7.383.511,2,1,1,4.92
2010-07-18,f,4.068.253,-7.394.295,2,1,1,4.59
2010-12-01,t,4.072.219,-7.398.245,4,2,2,4.37
2010-12-07,f,4.070.705,-7.395.489,1,1,3,4.92
2010-06-17,f,4.072.863,-739.842,2,1,1,
2010-12-08,f,4.067.582,-7.394.316,2,1,1,4.79
2010-12-09,f,4.067.634,-7.395.143,2,1,1,4.82
2010-12-09,t,4.067.579,-7.395.072,3,1,1,4.78
2009-10-19,t,4.072.497,-7.398.356,2,1,1,4.57
2010-12-14,f,4.068.305,-7.395.195,3,2,2,4.92
2010-12-10,t,4.072.021,-7.399.426,7,2,2,5.0
2010-12-16,f,407.106,-7.395.178,2,1,1,4.67
2010-12-16,f,4.070.797,-7.394.792,3,1,1,4.52
2010-12-18,f,4.082.899,-7.394.345,1,1,1,4.9
2010-12-19,f,4.068.028,-7.399.328,4,2,2,4.87
2010-12-21,t,4.072.547,-7.398.619,2,,1,4.92
2010-12-10,t,4.072.036,-7.399.435,7,2,3,4.86
2010-12-26,t,4.067.548,-7.398.315,4,1,3,4.82
2010-12-28,t,4.068.088,-7.399.102,3,1,1,4.99
2010-03-31,f,4.079.544,-7.394.836,2,1,1,4.85
2010-12-29,t,4.071.516,-7.396.448,4,1,2,4.89
2011-01-01,f,4.080.332,-7.395.741,2,1,1,4.79
2010-01-04,f,4.076.336,-7.392.099,1,1,,
2011-01-10,f,4.078.846,-7.397.459,2,1,1,4.97
2011-01-11,f,4.073.094,-7.395.484,2,1,1,4.86
2010-11-08,t,40.72,-7.399.487,6,3,3,4.86
2011-01-18,f,4.077.845,-7.398.295,2,1,1,4.84
2010-06-30,f,4.070.494,-7.391.982,2,1,1,4.77
2011-01-25,f,4.083.403,-7.393.951,5,2,3,4.97
2011-01-26,f,407.159,-7.399.156,2,1,1,4.83
2011-01-27,t,4.072.997,-7.400.196,2,1,1,4.83
2011-01-27,f,4.072.919,-7.395.588,4,1,2,4.98
2011-01-30,f,4.087.069,-7.390.113,2,1,1,4.46
2011-02-01,f,4.077.743,-7.397.691,2,1,2,4.51
2011-01-09,f,4.072.744,-73.953,1,1,1,4.52
2010-12-31,f,4.080.834,-7.394.075,3,1,2,04.03
2011-02-14,f,4.075.523,-7.399.792,5,1,1,4.84
2010-10-18,t,4.077.507,-7.393.367,3,1,2,4.67
2011-02-16,f,4.080.874,-7.394.926,5,2,2,4.67
2011-02-16,f,4.072.364,-7.395.013,3,1,1,4.67
2011-02-20,f,4.071.911,-7.398.588,3,1,1,4.81
2011-02-28,f,4.071.407,-7.396.657,2,1,1,5.0
2011-03-01,f,4.073.777,-7.395.366,2,1,1,4.92
2011-03-10,f,4.072.322,-7.398.615,2,1,2,4.33
2011-03-01,f,4.073.756,-739.535,4,1,2,5.0
2011-03-01,f,4.073.777,-7.395.366,4,1,2,4.63
2011-03-12,f,4.067.407,-7.398.105,5,3,5,4.86
2011-03-01,f,4.073.777,-7.395.366,4,1,2,4.0
2011-03-19,f,4.068.433,-7.394.469,5,2,3,4.91
2011-03-20,f,4.068.769,-7.391.788,3,1,2,4.43
2011-03-21,f,4.068.871,-7.397.322,3,2,3,4.67
2011-03-01,f,4.073.777,-7.395.366,2,1,1,4.86
2010-08-22,t,4.067.823,-7.394.719,4,2,2,4.45
2009-07-10,t,4.068.413,-7.393.817,5,2,4,4.71
2011-04-12,t,4.067.654,-7.394.629,4,1,2,4.83
2011-03-30,t,406.736,-739.551,2,1,1,4.86
2011-04-14,f,4.071.167,-7.394.932,2,1,1,5.0
2011-04-14,f,4.069.304,-7.395.417,6,2,2,4.67
2011-04-19,f,4.075.077,-7.399.657,2,1,1,4.81
2011-04-19,t,406.867,-7.397.469,2,,1,5.0
2011-04-21,t,4.066.952,-7.399.201,3,1,1,4.94
2011-04-21,f,4.074.056,-7.400.143,2,1,1,4.84
2011-04-23,f,4.071.116,-7.395.484,4,3,3,4.9
2010-07-22,t,4.078.645,-7.397.082,3,1,3,4.65
2011-03-26,f,4.071.551,-7.396.274,2,1,2,4.78
2011-03-01,f,4.073.778,-7.395.366,6,2,3,4.17
2010-09-01,f,40.693.047,-73.971.985,3,1,1,4.71
2011-04-30,f,4.058.603,-738.145,1,1,1,4.93
2011-05-01,f,4.081.919,-7.395.443,2,1,1,4.86
2011-05-02,t,4.082.772,-7.395.284,1,1,1,4.85
2011-05-02,t,4.068.647,-7.395.862,4,2,2,4.89
2011-05-03,f,4.068.615,-7.396.769,3,2,2,4.9
2010-12-01,t,4.072.741,-7.395.466,3,1,2,4.75
2012-07-29,t,4.078.073,-7.398.564,2,,1,4.63
2011-05-10,f,408.069,-7.395.372,2,1,1,5.0
2010-07-26,f,4.069.132,-7.397.306,2,1,1,4.62
2011-05-10,f,406.905,-7.397.867,1,1,1,
2010-12-09,t,4.067.582,-739.518,2,1,1,4.75
2011-05-11,f,4.066.562,-7.399.002,6,3,3,4.5
2011-05-08,f,4.082.402,-7.395.263,1,1,1,4.76
2011-05-13,f,4.076.406,-7.392.266,2,1,1,4.58
2011-04-10,t,4.080.384,-7.395.123,4,,2,4.48
