host_since,host_is_superhost,latitude,longitude,accommodates,bedrooms,beds,review_scores_rating
2014-01-29,f,4.067.097,-7.397.446,10,5,6,5.0
2014-01-29,f,4.076.367,-7.399.241,4,1,1,4.36
2014-01-30,f,4.078.226,-7.397.585,4,2,4,5.0
2013-02-08,f,4.071.627,-7.399.435,1,1,1,4.25
2012-11-14,t,4.070.943,-7.394.011,1,,1,4.6
2014-01-29,f,4.077.975,-739.827,1,,1,4.76
2014-01-12,t,4.068.648,-7.399.454,4,2,3,4.88
2013-07-15,f,4.072.735,-7.394.015,3,,1,4.33
2014-02-01,f,4.075.808,-7.397.088,2,1,1,4.91
2013-11-01,f,4.077.878,-7.397.856,5,2,2,
2013-05-04,t,4.076.063,-7.402.827,3,1,2,4.97
2014-02-03,f,4.067.026,-7.392.587,4,1,2,4.13
2014-01-14,t,4.080.921,-7.394.334,4,1,3,4.7
2014-02-04,f,4.071.525,-7.398.929,2,1,1,4.54
2013-04-10,f,4.067.876,-7.400.087,6,1,3,
2014-02-05,f,4.070.871,-7.395.367,1,1,1,4.75
2013-06-06,f,4.073.382,-7.395.836,3,1,1,4.38
2014-02-06,f,40.763.588,-73.925.919,2,1,1,4.76
2014-02-06,t,4.067.226,-7.392.759,7,2,2,4.8
2014-01-28,f,4.073.191,-7.386.641,5,2,6,4.89
2011-10-25,f,4.071.493,-7.395.654,2,1,1,
2013-06-17,f,4.073.011,-7.400.332,2,1,1,4.72
2013-11-26,f,4.065.164,-7.396.032,1,1,1,4.75
2012-08-27,f,40.694,-7.393.453,2,1,1,4.63
2014-02-09,f,4.077.925,-7.395.193,3,1,1,4.89
2013-12-19,f,4.067.867,-7.384.136,2,1,2,4.87
2014-02-10,t,4.075.937,-7.399.161,2,1,1,4.94
2014-02-10,t,4.067.403,-7.394.139,5,2,2,4.66
2013-07-29,t,4.058.122,-7.384.046,5,2,3,4.55
2011-09-29,f,4.067.726,-739.491,1,1,1,
2014-02-12,f,4.068.825,-7.393.647,5,2,2,4.8
2014-02-13,f,407.202,-7.398.569,2,1,1,
2014-02-14,f,4.082.035,-7.395.691,2,1,1,3.75
2012-10-27,f,4.069.893,-7.392.842,2,1,1,4.83
2012-05-05,f,4.071.949,-739.404,2,1,1,4.88
2014-02-16,f,4.072.172,-7.396.155,3,1,2,4.68
2014-02-16,f,4.073.637,-7.400.259,4,1,4,5.0
2011-12-20,f,4.073.002,-739.801,1,1,1,4.8
2014-02-18,t,4.066.873,-7.395.618,3,1,2,4.77
2011-12-05,f,407.186,-739.451,2,1,2,
2012-07-05,f,407.313,-7.395.667,2,1,1,4.64
2014-02-19,f,4.071.984,-7.401.018,2,,1,5.0
2014-02-19,f,407.159,-7.400.834,2,1,1,
2013-08-23,t,4.083.477,-7.394.257,2,1,1,4.82
2012-07-25,f,4.069.326,-7.392.124,3,1,1,4.26
2011-02-04,t,4.072.358,-7.395.426,4,2,3,4.96
2014-02-21,t,4.082.414,-738.596,2,1,1,4.98
2012-10-22,f,4.076.453,-7.399.515,4,,1,4.0
2014-02-22,f,4.074.615,-7.398.295,3,1,1,5.0
2014-02-23,f,4.064.981,-7.396.219,1,1,,
2014-02-19,f,4.079.911,-7.394.446,4,1,1,4.0
2013-06-03,f,4.080.543,-7.396.516,1,1,1,4.91
2014-02-24,f,4.072.876,-7.399.614,4,2,1,4.63
2009-12-19,t,4.072.399,-7.397.777,1,1,1,4.83
2013-11-13,f,4.070.867,-7.400.499,2,1,1,5.0
2014-02-25,f,4.078.508,-7.394.753,4,2,2,
2014-02-25,f,406.895,-7.393.329,1,1,1,
2014-02-25,f,4.072.074,-7.398.944,3,1,2,4.69
2014-02-26,f,40.843.510.381.556.800,-7.394.310.221.378.540,2,1,2,5.0
2014-02-26,f,4.079.929,-7.395.259,1,1,1,4.89
2013-07-29,f,4.078.736,-7.377.856,1,1,1,4.96
2011-07-06,f,4.071.811,-7.395.991,2,1,1,0.0
2013-01-11,f,4.079.729,-7.396.324,4,1,2,4.8
2014-02-27,f,4.068.814,-7.398.864,2,1,1,4.71
2013-09-14,t,4.080.685,-7.394.461,7,3,5,4.6
2013-09-27,f,4.067.948,-7.385.335,2,1,1,
2012-02-16,t,4.073.392,-7.385.875,2,1,1,3.5
2014-03-01,f,4.074.329,-7.400.169,3,1,1,4.75
2012-01-23,f,4.070.675,-7.395.593,4,2,2,4.89
2014-02-11,t,4.071.298,-7.394.356,2,1,1,4.74
2014-03-02,t,4.081.555,-7.395.338,1,1,1,4.78
2014-03-02,f,4.078.067,-7.401.394,4,1,2,4.33
2012-05-30,f,4.070.613,-7.392.516,3,1,1,4.68
2013-10-20,f,4.062.492,-7.394.233,2,,1,4.52
2011-05-17,f,4.074.864,-7.399.664,2,1,1,4.83
2014-03-03,f,4.077.574,-739.524,2,,1,4.84
2014-03-03,f,4.073.598,-7.399.751,2,1,2,4.0
2012-11-13,t,4.069.573,-7.390.954,4,2,5,4.8
2014-03-04,f,406.561,-739.611,1,1,1,4.92
2013-08-31,f,4.067.111,-7.376.824,2,1,2,4.59
2012-10-17,t,4.081.654,-7.394.383,2,1,1,4.94
2014-03-06,f,4.074.269,-7.395.728,4,2,3,4.9
2014-03-06,f,4.076.582,-7.392.871,2,1,1,4.0
2014-02-07,f,4.074.578,-7.389.827,2,1,1,2.0
2013-12-04,f,4.075.683,-7.391.283,2,1,1,5.0
2013-10-04,f,4.072.086,-7.399.354,2,1,1,4.71
2013-11-26,f,4.073.062,-7.398.937,4,1,3,4.0
2014-03-07,f,4.077.603,-73.918,4,2,3,5.0
2010-09-18,f,4.068.256,-7.400.035,4,2,3,4.5
2013-06-03,f,4.067.571,-7.395.161,2,,1,5.0
2013-07-08,f,4.076.038,-7.398.196,4,1,2,4.5
2014-01-31,f,4.067.611,-7.396.126,2,1,1,5.0
2011-09-26,f,4.068.374,-7.399.134,4,1,1,5.0
2014-01-14,f,4.076.426,-7.398.017,4,1,2,
2012-08-12,f,4.081.927,-7.394.631,2,1,1,
2012-12-28,f,4.073.979,-7.398.238,4,,1,4.72
2014-03-09,f,4.077.929,-7.397.787,1,1,1,0.0
2013-01-08,f,40.637,-7.401.144,2,1,1,4.6
2013-10-14,f,4.070.643,-7.401.636,2,1,1,4.96
2013-10-31,t,4.081.504,-7.394.111,4,,2,4.53
2013-07-30,f,4.067.487,-7.396.791,10,4,5,4.9
2014-03-11,f,4.072.004,-7.395.762,2,1,1,4.71
2012-08-06,f,4.068.514,-7.399.464,2,1,1,5.0
2014-03-12,f,4.068.616,-7.395.592,6,2,2,4.64
2014-03-12,f,4.080.862,-7.395.756,2,1,1,4.63
2013-06-26,f,4.073.237,-7.398.288,2,,1,4.0
2011-09-15,t,4.080.131,-7.395.617,2,1,1,4.84
2014-03-14,f,4.064.576,-7.395.871,1,1,1,0.0
2014-03-12,f,4.068.502,-7.396.384,7,3,4,4.93
2014-03-14,f,4.070.789,-7.394.793,2,1,1,4.73
2014-03-15,f,4.079.731,-7.394.231,2,1,1,4.22
2013-11-27,f,4.071.051,-7.395.897,2,1,1,4.77
2012-01-30,f,4.084.437,-7.394.344,3,1,1,4.5
2014-03-15,f,4.072.069,-7.395.772,2,1,1,5.0
2013-02-19,f,4.078.406,-7.397.269,4,2,1,4.5
2013-09-27,f,4.074.284,-7.400.691,2,,1,5.0
2014-03-17,f,4.058.474,-7.381.319,4,2,2,4.71
2014-03-17,f,407.177,-7.395.798,2,1,1,4.84
2014-01-13,f,4.077.356,-739.518,2,1,1,
2013-01-06,f,4.069.416,-7.392.071,2,1,2,4.75
2014-03-17,f,40.684.025,-73.909.882,1,1,1,5.0
2014-02-23,f,406.477,-7.396.118,3,1,2,4.66
2011-06-21,t,4.068.713,-7.395.666,4,,2,4.95
2014-03-18,f,4.071.001,-7.395.032,2,1,1,5.0
2014-03-18,f,4.069.135,-7.394.694,2,1,1,5.0
2012-12-03,f,4.068.235,-7.396.592,1,1,1,4.94
2014-03-19,f,4.072.678,-7.395.691,2,1,1,5.0
2013-05-25,f,4.073.162,-7.398.738,2,1,2,
2014-03-19,f,4.075.384,-7.396.722,3,,2,4.64
2014-03-19,f,4.074.341,-7.392.158,2,1,1,4.67
2014-03-20,f,4.077.096,-7.395.539,2,1,1,4.5
2014-03-20,f,4.077.073,-7.395.714,2,1,1,5.0
2013-12-29,f,4.079.576,-7.396.258,4,2,3,
2014-03-20,f,4.077.322,-7.395.624,2,2,2,4.5
2014-03-20,f,4.077.131,-739.571,3,2,2,4.43
2014-03-20,f,407.707,-7.395.735,2,1,1,4.5
2013-01-13,t,4.069.894,-7.393.823,1,1,1,4.67
2013-01-13,t,4.070.083,-7.393.822,1,1,1,5.0
2014-03-23,f,4.079.860.653.946.640,-7.396.792.855.747.330,2,1,1,4.73
2012-07-03,f,4.068.662,-7.396.916,2,1,1,4.83
2014-02-15,f,407.376,-7.400.066,2,1,1,4.9
2012-02-27,f,4.068.914,-7.397.707,2,2,2,4.85
2014-03-24,f,4.072.877,-7.398.566,2,1,1,4.0
2014-03-20,f,4.077.093,-7.395.625,2,2,2,4.2
2014-03-19,f,4.076.545,-7.398.882,3,1,2,5.0
2012-06-19,f,4.077.703,-7.391.756,5,1,2,4.89
2013-11-08,f,4.065.115,-739.256,2,1,2,4.74
2014-03-25,f,4.068.259,-7.392.357,3,1,1,4.7
2012-06-16,f,4.073.386,-7.398.557,2,1,1,4.58
2014-03-26,t,4.074.021,-7.392.265,2,1,1,4.82
2014-03-20,f,4.077.611,-7.394.771,3,1,1,4.69
2010-07-04,f,4.067.698,-7.394.684,4,1,3,4.73
2013-09-25,f,4.081.196,-7.394.511,2,1,1,
2010-06-11,f,407.675,-7.398.421,1,1,1,5.0
2014-03-27,f,4.068.774,-7.393.654,2,1,2,4.51
2012-05-04,f,4.079.168,-7.394.224,3,1,2,4.0
2012-10-11,f,4.072.702,-7.394.853,1,1,1,4.38
2014-03-27,f,4.069.286,-7.396.779,1,1,1,4.57
2014-03-28,f,407.264,-7.387.104,1,1,1,4.43
2013-03-06,f,4.070.512,-7.392.776,2,1,1,4.67
2014-03-28,f,4.073.591,-7.398.165,2,1,1,5.0
2014-03-29,f,4.079.699,-7.397.077,2,1,1,4.83
2014-03-29,t,4.084.217,-7.391.198,2,1,1,4.65
2018-12-31,f,407.104,-7.394.984,1,1,1,4.61
2014-03-25,t,4.065.774,-7.397.557,4,1,1,4.73
2013-08-11,f,4.075.123,-7.387.435,1,1,1,4.7
2014-02-01,f,407.646,-7.397.992,2,1,1,4.82
2011-10-10,f,4.074.897,-739.209,6,3,3,4.71
2014-03-31,t,4.080.362,-7.395.576,2,,1,4.85
2012-01-13,f,4.070.949,-7.396.441,4,2,3,5.0
2013-03-01,f,4.068.626,-7.395.123,2,1,1,0.0
2013-11-26,f,4.082.447,-7.393.941,4,1,1,4.17
2011-04-03,f,4.074.426,-7.395.789,4,2,2,5.0
2014-04-01,f,4.069.294,-739.712,6,2,3,4.57
2014-04-01,f,4.074.035,-7.398.114,2,,1,
2014-04-02,f,4.079.855,-7.381.451,8,3,3,4.83
2014-04-01,t,4.080.903,-7.395.073,2,1,1,4.77
2014-04-01,t,4.080.709,-7.395.119,1,1,1,4.86
2014-04-02,f,4.082.863,-7.395.131,4,1,2,4.7
2013-07-27,f,407.772,-7.401.551,2,1,1,4.57
2010-07-06,f,4.083.505,-739.464,3,2,2,3.8
2013-07-15,f,4.072.783,-7.394.175,4,1,1,4.6
2014-04-04,f,407.748,-739.548,4,1,2,4.5
2012-10-24,f,4.067.759,-7.400.764,5,2,3,4.91
2013-10-14,f,4.076.555,-739.815,5,2,3,
2013-05-26,t,4.080.233,-7.391.473,2,1,1,4.76
2012-08-16,f,4.076.562,-7.398.462,2,1,1,5.0
2014-04-05,f,4.065.721,-7.395.525,2,1,1,5.0
2014-04-05,f,4.069.068,-7.392.786,2,1,1,5.0
2014-04-06,f,4.073.877,-7.399.637,1,,1,
2010-06-01,f,4.075.631,-7.392.321,1,1,1,4.82
2014-02-23,f,4.072.348,-7.398.395,2,1,1,0.0
2014-04-06,t,4.068.278,-7.393.846,4,,1,4.87
2013-10-14,f,4.076.523,-7.398.356,3,1,2,
2014-04-06,f,4.079.545,-7.397.323,2,1,2,4.58
2014-04-07,f,4.068.356,-7.399.213,6,5,5,4.67
2014-02-09,f,4.076.261,-7.394.082,2,1,1,4.0
2014-02-21,f,4.068.225,-7.393.207,1,1,1,5.0
2014-04-07,t,4.069.677,-7.393.091,5,2,3,4.94
2014-04-07,f,4.072.944,-7.399.419,3,1,1,5.0
2013-08-29,f,407.659,-7.398.174,4,1,2,5.0
2013-04-23,f,4.076.304,-7.399.319,2,1,1,4.92
2014-04-08,t,4.073.317,-7.398.919,3,,1,4.72
2014-04-09,f,4.067.997,-7.400.156,6,4,6,4.92
2014-03-20,f,4.077.176,-7.395.555,2,1,1,4.67
2014-04-10,f,4.071.495,-7.396.079,2,1,1,4.84
2011-03-23,f,4.068.162,-7.393.827,2,1,1,4.64
2012-04-24,f,4.072.114,-7.398.576,3,1,2,4.83
2014-04-11,f,4.067.726,-7.398.101,5,2,3,4.0
2014-04-11,f,4.078.492,-7.397.256,2,1,1,
2014-04-12,f,4.086.647,-7.388.529,1,1,1,4.69
2012-10-15,f,4.066.026,-7.398.014,2,1,1,5.0
2013-10-14,f,4.077.956,-7.398.495,2,2,1,4.79
2014-04-12,f,4.069.707,-7.393.914,1,,1,4.67
2011-05-24,f,4.068.238,-7.399.481,2,1,1,
2012-08-07,f,4.077.349,-7.395.137,4,1,2,5.0
2013-09-18,t,4.081.911,-7.394.596,3,1,2,4.64
2014-04-14,f,4.068.931,-7.398.073,2,1,1,5.0
2013-06-23,t,4.074.247,-7.399.426,3,,2,4.79
2013-01-16,f,4.072.215,-7.399.411,4,2,2,4.7
2012-06-14,t,4.071.198,-7.395.011,1,1,1,4.96
2013-08-13,f,4.087.726,-7.388.174,2,1,2,
2013-10-18,f,4.072.078,-7.398.276,2,1,1,
2014-04-14,f,4.079.071,-7.396.779,3,1,2,4.83
2010-10-03,t,4.067.991,-7.393.879,2,1,2,5.0
2014-04-14,f,4.062.578,-7.407.356,3,2,2,4.0
2012-05-10,f,4.068.641,-7.399.367,2,1,1,4.5
2010-10-03,t,4.068.234,-739.385,2,,2,5.0
2013-06-20,f,4.076.455,-7.395.656,2,2,2,5.0
2014-04-15,f,4.078.393,-739.786,2,1,1,5.0
2013-08-28,f,407.642,-7.399.133,2,,1,0.0
2012-08-07,f,4.074.382,-7.390.299,2,1,1,4.0
2013-09-10,f,4.080.504,-7.396.454,1,1,1,5.0
2014-01-28,t,4.083.308,-7.394.103,2,1,1,4.66
2014-04-16,f,4.073.979,-7.398.016,3,1,3,
2014-04-17,f,4.080.656,-73.928,3,,1,4.56
2014-03-20,f,4.077.302,-7.395.579,2,1,1,4.5
2012-05-09,f,407.779,-7.398.199,2,1,1,5.0
2013-04-18,t,4.083.383,-7.394.303,1,3,1,4.59
2013-07-15,f,4.072.727,-7.394.006,2,,1,4.75
2014-01-16,f,4.076.114,-7.391.987,2,1,1,4.87
2014-03-04,f,4.076.886,-7.395.488,2,,1,4.81
2012-08-12,t,4.073.058,-740.007,3,1,2,4.49
2014-04-20,f,407.254,-7.395.109,2,1,2,4.9
2013-07-15,f,4.072.599,-7.393.983,6,2,2,4.67
2014-04-21,f,4.078.043,-7.401.034,2,1,1,4.84
2012-10-14,f,4.072.934,-7.399.993,2,1,1,4.16
2012-07-25,t,40.838,-739.451,2,1,1,4.6
2014-04-21,f,4.078.432,-7.394.839,6,3,4,5.0
2014-03-28,f,4.085.568,-739.137,1,1,1,4.77
2014-04-22,f,4.067.955,-7.399.547,5,2,3,
2013-05-02,f,4.069.595,-7.392.219,1,1,1,
2014-04-22,f,4.071.478,-739.883,6,2,2,4.75
2014-04-21,f,4.078.491,-7.394.708,6,3,4,4.57
2014-03-20,f,4.077.089,-7.395.626,2,1,1,4.67
2014-04-23,t,4.077.322,-7.392.997,6,2,2,4.85
2012-09-30,f,4.079.205,-7.397.433,3,,1,4.77
2013-02-25,f,4.071.976,-7.396.336,2,1,1,
2014-04-23,f,4.068.854,-7.397.943,1,,1,5.0
2012-09-12,f,4.066.934,-7.398.358,4,2,2,4.86
2014-03-27,f,4.066.386,-7.397.636,6,3,,4.53
2012-01-29,t,4.085.026,-7.394.117,1,1,1,4.83
2014-03-20,f,4.077.262,-7.395.598,2,1,1,4.86
2014-04-10,t,4.075.474,-7.381.985,1,1,1,4.55
2013-03-04,f,4.071.381,-7.394.052,2,1,1,4.88
2014-04-25,f,4.070.977,-7.391.657,2,1,1,4.58
2013-06-17,f,407.995,-7.396.466,2,1,1,3.8
2013-02-17,t,4.067.321,-7.391.821,4,2,2,4.68
2014-04-26,t,4.064.543,-7.396.223,2,,1,4.91
2014-04-10,t,4.075.605,-7.382.007,1,1,1,4.83
2012-05-01,t,4.064.367,-740.794,3,1,2,4.98
2014-04-27,f,4.068.718,-7.378.554,2,1,1,4.41
2013-03-13,f,4.073.204,-7.398.733,2,1,1,4.6
2012-08-22,f,4.077.423,-7.391.815,2,1,1,4.39
2013-07-31,f,4.074.918,-7.397.784,2,1,1,0.0
2013-06-07,f,4.067.757,-7.399.666,4,2,3,5.0
2010-08-09,f,4.071.259,-7.394.007,2,1,1,4.88
2014-04-07,f,4.067.989,-739.775,2,2,1,4.88
2013-12-12,f,4.069.952,-739.412,2,1,1,5.0
2014-04-28,f,4.071.708,-7.401.549,2,,1,
2014-04-08,f,40.693.348,-73.824.554,2,1,1,4.35
2014-04-28,f,4.078.342,-7.397.437,5,1,1,4.11
2014-04-29,f,4.068.452,-7.399.093,4,1,3,4.31
2013-06-01,f,4.070.083,-7.392.297,1,1,1,4.78
2014-04-29,f,407.491,-7.394.815,3,1,1,5.0
2013-07-02,f,406.519,-7.394.845,4,2,2,4.4
2011-11-27,t,4.072.974,-739.529,1,1,1,4.81
2014-04-30,f,408.689,-7.392.284,5,1,4,4.88
2013-05-30,f,4.084.327,-739.392,2,1,1,4.9
2012-08-02,f,4.073.515,-7.395.442,2,1,1,4.78
2013-10-18,t,4.069.722,-7.399.209,2,1,1,4.73
2013-06-28,f,4.069.277,-7.394.698,1,1,1,4.67
2014-05-01,f,4.070.944,-740.184,4,1,1,4.84
2014-04-05,f,4.072.849,-7.400.161,2,1,1,4.63
2014-05-02,f,4.069.439,-7.386.454,2,1,1,4.74
2014-05-02,t,4.071.675,-7.398.474,3,1,2,4.5
2014-05-02,f,4.080.181,-7.395.546,1,1,1,4.75
2011-12-12,f,4.074.135,-7.400.069,3,1,1,5.0
2014-05-02,f,4.069.412,-7.386.265,2,1,2,4.51
2010-07-07,f,4.083.563,-7.394.786,2,1,2,5.0
2012-08-13,f,4.073.931,-7.389.989,1,1,2,4.8
2014-05-03,t,4.076.281,-7.399.281,4,1,2,4.8
2014-05-04,f,4.076.054,-7.396.679,1,1,1,
2009-09-11,f,4.066.935,-739.938,5,2,3,4.82
2014-04-16,t,4.075.864,-7.398.824,2,1,2,4.75
2014-05-05,t,4.073.728,-7.399.248,3,1,2,4.83
2012-05-13,f,4.070.842,-7.394.385,3,2,2,4.5
2010-08-14,f,4.071.595,-7.395.225,4,2,3,5.0
2014-05-04,f,4.072.151,-7.394.878,4,2,2,5.0
2011-05-14,f,4.067.942,-7.397.053,4,2,2,4.5
2014-05-06,f,4.079.366,-7.394.559,2,1,2,4.79
2013-03-11,f,407.148,-7.398.887,2,1,1,4.45
2014-03-20,f,407.709,-7.395.741,2,1,2,4.25
2014-05-06,f,4.080.248,-7.395.286,2,1,1,4.81
2014-05-06,f,4.069.443,-7.399.068,2,1,1,4.9
2014-03-20,f,4.077.141,-7.395.548,2,1,1,4.89
2012-03-19,t,4.068.413,-7.394.266,4,1,1,4.79
2014-03-20,f,4.077.141,-7.395.739,2,1,1,5.0
2014-05-08,t,4.068.562,-7.392.219,5,2,3,4.76
2013-04-18,t,4.083.566,-739.449,2,4,1,4.92
2014-02-06,t,406.726,-7.392.841,2,1,1,4.9
2011-05-02,f,4.065.266,-7.394.913,3,1,1,4.43
2013-03-28,f,4.067.579,-7.396.497,8,4,5,4.92
2011-12-14,t,4.071.672,-7.395.765,2,1,1,4.91
2014-05-09,f,4.074.741,-7.398.772,2,,1,
2010-01-02,f,4.073.682,-740.007,2,1,1,4.88
2013-09-05,f,4.080.361,-7.395.723,2,1,1,4.98
2013-07-15,f,4.072.719,-7.393.988,4,,2,5.0
2013-08-14,f,4.083.178,-7.391.817,1,4,4,4.8
2014-05-13,f,406.458,-7.397.735,6,3,5,5.0
2009-01-05,f,4.077.758,-739.095,1,1,1,4.93
2012-12-14,f,4.065.827,-7.395.136,2,1,1,4.0
2014-05-14,f,4.072.308,-7.398.915,4,2,2,4.56
2014-05-14,f,4.065.194,-7.395.788,2,1,1,4.86
2014-05-14,f,4.077.391,-7.394.695,2,1,1,3.5
2010-10-18,f,4.078.302,-7.400.217,6,2,2,4.71
2014-05-15,f,4.072.916,-7.400.433,2,1,1,5.0
2013-04-18,t,4.083.555,-7.394.432,1,1,1,5.0
2014-05-15,f,4.072.127,-7.399.507,2,1,1,4.59
2013-07-02,t,4.075.016,-7.399.727,2,,1,4.35
2014-05-15,f,4.072.944,-7.398.227,2,,1,5.0
2013-06-25,f,4.079.375,-7.394.569,1,1,1,3.0
2013-07-15,f,4.072.695,-7.394.212,4,1,1,4.86
2013-03-04,f,4.071.348,-7.394.207,1,1,1,4.42
2012-09-11,f,4.073.014,-73.99,2,,2,5.0
2012-08-13,t,4.066.095,-7.395.916,3,,1,4.7
2014-03-20,f,4.077.073,-7.395.683,2,1,1,4.56
2014-03-20,f,4.077.081,-7.395.672,2,1,1,4.73
2012-07-25,f,4.069.096,-7.391.987,2,1,1,4.3
2014-05-17,f,4.070.576,-739.546,1,1,1,5.0
2014-05-18,f,407.084,-7.394.611,4,1,2,4.75
2014-05-18,f,4.067.449,-7.391.413,6,1,3,4.74
2014-05-18,t,407.261,-7.397.964,8,4,6,4.95
2014-05-17,f,4.078.087,-7.397.812,2,,1,5.0
2013-03-30,f,4.080.903,-7.395.967,4,1,2,4.6
2014-04-29,f,4.082.503,-739.435,3,1,1,4.9
2014-05-17,f,4.060.971,-7.397.405,6,2,4,4.75
2013-02-02,f,4.071.678,-7.395.588,1,1,1,4.85
2012-05-06,f,4.072.421,-7.394.881,2,2,2,5.0
2013-06-26,f,4.067.093,-7.394.616,3,1,1,4.51
2014-05-19,f,406.915,-7.397.136,4,2,2,4.66
2013-12-31,f,4.072.805,-7.384.948,3,1,1,4.0
2014-05-20,f,4.082.147,-7.394.774,1,1,1,5.0
2013-10-08,f,4.077.562,-7.395.679,4,2,3,
2013-09-13,f,4.067.301,-7.396.093,3,1,2,5.0
2014-05-21,t,4.064.846,-7.400.834,1,1,1,5.0
2012-10-05,f,4.071.781,-7.398.369,2,1,1,4.12
2014-05-21,f,4.076.381,-7.383.327,2,1,1,4.77
2012-06-14,f,4.077.562,-73.983,2,,1,5.0
2014-04-30,f,408.187,-7.393.836,4,2,1,5.0
2014-05-22,f,4.072.186,-7.398.569,2,,1,4.0
2009-02-27,f,4.080.846,-7.394.096,2,1,1,5.0
2012-09-24,f,4.071.617,-7.395.944,2,1,1,5.0
2014-05-22,f,4.081.595,-739.447,1,1,1,
2014-05-22,f,407.712,-7.391.705,6,2,3,4.83
2012-05-26,f,4.067.877,-7.397.741,4,2,2,5.0
2014-05-12,f,4.076.293,-7.395.961,2,,1,4.8
2014-05-18,f,4.073.753,-7.398.013,4,2,1,
2012-10-09,f,4.070.903,-7.395.339,2,1,1,4.67
2014-05-25,f,4.063.956,-7.396.569,1,1,1,
2012-08-20,f,4.068.535,-7.395.396,4,,1,4.83
2013-07-08,f,4.072.908,-740.046,2,,1,4.5
2014-05-26,t,4.067.283,-739.661,2,1,1,4.75
2014-05-26,t,4.058.493,-7.381.736,4,1,2,4.94
2013-09-28,f,4.068.958,-7.394.138,4,2,3,0.0
2014-04-26,f,4.069.378,-7.395.155,2,1,1,4.63
2012-05-10,f,4.071.706,-7.395.509,3,,1,4.83
2014-05-27,t,4.067.719,-7.396.266,6,3,3,4.97
2014-05-27,f,4.073.028,-7.398.326,2,1,1,5.0
2012-05-19,f,4.071.749,-7.396.166,8,3,4,
2013-05-01,f,4.073.533,-7.400.268,3,1,1,5.0
2014-05-28,f,4.071.274,-7.395.831,4,2,4,4.68
2014-05-28,t,4.074.321,-7.399.409,2,1,1,4.69
2014-04-29,t,4.068.242,-7.394.662,6,2,3,4.27
2013-08-14,f,4.086.017,-739.296,3,1,1,5.0
2014-05-29,t,4.088.103,-738.486,4,2,3,4.43
2014-01-13,t,4.069.284,-7.397.452,4,1,2,4.77
2010-09-21,f,4.065.027,-7.396.326,2,1,1,4.5
2013-09-29,f,4.089.711,-7.389.993,2,1,1,4.64
2014-05-30,f,4.071.492,-7.404.007,2,,,4.89
2011-06-24,t,4.067.597,-7.397.765,4,2,2,4.82
2014-05-31,f,408.009,-739.572,2,1,1,4.56
2014-01-08,f,4.071.997,-7.399.615,3,1,3,4.33
2011-05-26,f,4.073.402,-7.385.468,2,1,1,4.0
2011-11-04,f,4.067.497,-7.392.336,9,3,4,4.77
2011-06-21,f,406.487,-739.694,2,1,1,4.55
2014-04-01,t,408.309,-7.394.372,11,5,6,4.89
2013-10-03,t,4.067.122,-7.395.012,3,3,3,4.73
2014-06-01,t,4.069.415,-7.392.415,5,1,3,4.44
2014-06-01,f,4.076.937,-7.394.842,4,1,2,4.46
2012-03-07,t,406.847,-739.911,2,1,1,4.95
2014-06-01,f,4.068.005,-7.399.611,6,3,3,4.88
2011-12-02,f,4.071.193,-7.394.846,2,1,1,
2014-06-01,f,4.071.478,-7.398.548,2,1,2,4.58
2014-06-02,f,4.071.909,-7.399.896,4,2,2,4.8
2011-08-24,f,4.074.944,-7.397.441,2,1,2,4.67
2013-07-24,f,4.072.093,-7.398.868,2,1,1,4.44
2011-04-09,f,4.071.411,-7.394.263,1,1,1,
2014-06-02,f,4.065.977,-7.395.913,12,4,5,4.38
2014-06-02,f,4.066.503,-7.398.707,5,2,3,4.75
2014-06-02,f,4.065.782,-7.397.523,5,4,4,
2014-06-02,f,4.068.274,-7.396.769,2,1,1,4.17
2014-05-17,f,4.071.813,-7.399.063,2,1,1,
2014-06-01,t,4.069.415,-7.392.415,3,1,1,4.28
2012-07-15,f,4.068.727,-7.396.551,4,3,4,4.5
2014-01-20,f,4.068.352,-7.399.234,4,2,2,4.83
2013-02-01,f,407.282,-739.805,2,,1,4.5
2014-06-04,f,4.071.996,-7.395.704,6,3,4,
2014-06-04,f,4.068.049,-7.394.419,4,1,2,4.55
2014-06-04,f,4.074.019,-7.397.896,2,1,1,4.79
2014-06-04,f,4.083.549,-7.394.392,2,1,1,4.69
2012-03-05,f,407.663,-7.396.551,2,1,2,4.74
2014-03-26,f,4.072.373,-739.468,4,,2,5.0
2014-06-05,f,4.081.355,-7.394.335,2,1,1,4.97
2014-06-05,f,4.082.599,-7.394.224,3,2,2,4.83
2012-02-05,f,406.906,-7.399.339,2,1,1,
2014-06-05,f,4.080.056,-7.393.737,2,1,1,4.8
2013-08-23,f,4.075.973,-7.396.415,2,1,1,4.6
2010-07-17,t,4.071.813,-7.395.871,2,1,1,4.67
2014-06-07,f,4.065.343,-7.395.851,2,1,1,4.6
2014-06-07,f,4.076.683,-7.395.452,2,1,1,4.75
2014-06-08,f,407.898,-739.708,5,2,5,
2013-11-11,f,4.067.456,-7.396.305,1,1,1,4.75
2014-06-08,f,4.067.788,-7.398.327,2,1,1,4.59
2012-02-13,f,4.067.923,-7.397.986,4,2,2,4.97
2010-12-26,t,406.772,-7.398.259,5,3,3,4.89
2014-06-08,f,4.073.469,-740.087,2,1,1,4.57
